"Year","Zone","Vaccine","# Immunized","# Eligible","% Coverage","95% CI"
"2014-15","CENTRAL","TDAP","3,735","3,998","93.4%","92.6-94.1"
"2014-15","CENTRAL","MEN-C-C","3,789","3,998","94.8%","94.0-95.4"
"2014-15","CENTRAL","HBV - Dose 1","3,448","3,998","86.2%","85.1-87.3"
"2014-15","CENTRAL","HBV - Dose 2","2,768","3,998","69.2%","67.8-70.6"
"2014-15","CENTRAL","HPV - Dose 1","1,771","1,957","90.5%","89.1-91.7"
"2014-15","CENTRAL","HPV - Dose 2","1,628","1,957","83.2%","81.5-84.8"
"2014-15","CENTRAL","HPV - Dose 3","1,410","1,957","72%","70.0-74.0"
"2014-15","NOVA SCOTIA","TDAP","8,417","8,989","93.6%","93.1-94.1"
"2014-15","NOVA SCOTIA","MEN-C-C","8,445","8,989","93.9%","93.4-94.4"
"2014-15","NOVA SCOTIA","HBV - Dose 1","7,802","8,989","86.8%","86.1-87.5"
"2014-15","NOVA SCOTIA","HBV - Dose 2","6,724","8,989","74.8%","73.9-75.7"
"2014-15","NOVA SCOTIA","HPV - Dose 1","3,877","4,413","87.9%","86.9-88.8"
"2014-15","NOVA SCOTIA","HPV - Dose 2","3,671","4,413","83.2%","82.1-84.3"
"2014-15","NOVA SCOTIA","HPV - Dose 3","3,336","4,413","75.6%","74.3-76.8"
"2013-14","WESTERN","TDAP","1,836","1,930","95.1%","94.1-96.0"
"2013-14","WESTERN","MEN-C-C","1,813","1,930","93.9%","92.8-94.9"
"2013-14","WESTERN","HBV - Dose 1","1,687","1,930","87.4%","85.9-88.8"
"2013-14","WESTERN","HBV - Dose 2","1,544","1,930","80%","78.2-81.7"
"2013-14","WESTERN","HPV - Dose 1","799","923","86.6%","84.2-88.6"
"2013-14","WESTERN","HPV - Dose 2","756","923","81.9%","79.2-84.3"
"2013-14","WESTERN","HPV - Dose 3","706","923","76.5%","73.6-79.1"
"2013-14","NORTHERN","TDAP","1,502","1,581","95%","93.8-96.0"
"2013-14","NORTHERN","MEN-C-C","1,530","1,581","96.8%","95.8-97.5"
"2013-14","NORTHERN","HBV - Dose 1","1,416","1,581","89.6%","88.0-91.0"
"2013-14","NORTHERN","HBV - Dose 2","1,310","1,581","82.9%","80.9-84.6"
"2013-14","NORTHERN","HPV - Dose 1","729","782","93.2%","91.2-94.8"
"2013-14","NORTHERN","HPV - Dose 2","693","782","88.6%","86.2-90.7"
"2013-14","NORTHERN","HPV - Dose 3","652","782","83.4%","80.6-85.8"
"2013-14","EASTERN","TDAP","1,464","1,642","89.2%","87.6-90.6"
"2013-14","EASTERN","MEN-C-C","1,490","1,642","90.7%","89.2-92.1"
"2013-14","EASTERN","HBV - Dose 1","1,418","1,642","86.4%","84.6-87.9"
"2013-14","EASTERN","HBV - Dose 2","1,292","1,642","78.7%","76.6-80.6"
"2013-14","EASTERN","HPV - Dose 1","698","802","87%","84.5-89.2"
"2013-14","EASTERN","HPV - Dose 2","671","802","83.7%","80.9-86.1"
"2013-14","EASTERN","HPV - Dose 3","618","802","77.1%","74.0-79.8"
"2013-14","CENTRAL","TDAP","3,847","4,112","93.6%","92.8-94.3"
"2013-14","CENTRAL","MEN-C-C","3,846","4,112","93.5%","92.7-94.2"
"2013-14","CENTRAL","HBV - Dose 1","3,302","4,112","80.3%","79.1-81.5"
"2013-14","CENTRAL","HBV - Dose 2","2,822","4,112","68.6%","67.2-70.0"
"2013-14","CENTRAL","HPV - Dose 1","1,780","2,004","88.8%","87.4-90.1"
"2013-14","CENTRAL","HPV - Dose 2","1,693","2,004","84.5%","82.8-86.0"
"2013-14","CENTRAL","HPV - Dose 3","1,409","2,004","70.3%","68.3-72.3"
"2013-14","NOVA SCOTIA","TDAP","8,649","9,265","93.4%","92.8-93.8"
"2013-14","NOVA SCOTIA","MEN-C-C","8,679","9,265","93.7%","93.2-94.2"
"2013-14","NOVA SCOTIA","HBV - Dose 1","7,823","9,265","84.4%","83.7-85.2"
"2013-14","NOVA SCOTIA","HBV - Dose 2","6,968","9,265","75.2%","74.3-76.1"
"2013-14","NOVA SCOTIA","HPV - Dose 1","4,006","4,511","88.8%","87.9-89.7"
"2013-14","NOVA SCOTIA","HPV - Dose 2","3,813","4,511","84.5%","83.4-85.6"
"2013-14","NOVA SCOTIA","HPV - Dose 3","3,385","4,511","75%","73.8-76.3"
"2012-13","WESTERN","TDAP","1,866","1,978","94.3%","93.2-95.3"
"2012-13","WESTERN","MEN-C-C","1,833","1,978","92.7%","91.4-93.7"
"2012-13","WESTERN","HBV - Dose 1","1,764","1,978","89.2%","87.7-90.5"
"2012-13","WESTERN","HBV - Dose 2","1,651","1,978","83.5%","81.8-85.0"
"2012-13","WESTERN","HPV - Dose 1","835","988","84.5%","82.1-86.6"
"2012-13","WESTERN","HPV - Dose 2","807","988","81.7%","79.1-84.0"
"2012-13","WESTERN","HPV - Dose 3","778","988","78.7%","76.1-81.2"
"2012-13","NORTHERN","TDAP","1,520","1,631","93.2%","91.9-94.3"
"2012-13","NORTHERN","MEN-C-C","1,517","1,631","93%","91.7-94.1"
"2012-13","NORTHERN","HBV - Dose 1","1,497","1,631","91.8%","90.4-93.0"
"2012-13","NORTHERN","HBV - Dose 2","1,403","1,631","86%","84.3-87.6"
"2012-13","NORTHERN","HPV - Dose 1","709","797","89%","86.6-91.0"
"2012-13","NORTHERN","HPV - Dose 2","695","797","87.2%","84.7-89.3"
"2012-13","NORTHERN","HPV - Dose 3","666","797","83.6%","80.8-86.0"
"2012-13","EASTERN","TDAP","1,548","1,763","87.8%","86.2-89.3"
"2012-13","EASTERN","MEN-C-C","1,545","1,763","87.6%","86.0-89.1"
"2012-13","EASTERN","HBV - Dose 1","1,484","1,763","84.2%","82.4-85.8"
"2012-13","EASTERN","HBV - Dose 2","1,382","1,763","78.4%","76.4-80.2"
"2012-13","EASTERN","HPV - Dose 1","703","867","81.1%","78.3-83.6"
"2012-13","EASTERN","HPV - Dose 2","686","867","79.1%","76.3-81.7"
"2012-13","EASTERN","HPV - Dose 3","645","867","74.4%","71.4-77.2"
"2012-13","CENTRAL","TDAP","3,837","4,173","91.9%","91.1-92.7"
"2012-13","CENTRAL","MEN-C-C","3,788","4,173","90.8%","89.9-91.6"
"2012-13","CENTRAL","HBV - Dose 1","3,527","4,173","84.5%","83.4-85.6"
"2012-13","CENTRAL","HBV - Dose 2","3,111","4,173","74.6%","73.2-75.8"
"2012-13","CENTRAL","HPV - Dose 1","1,799","2,033","88.5%","87.0-89.8"
"2012-13","CENTRAL","HPV - Dose 2","1,737","2,033","85.4%","83.8-86.9"
"2012-13","CENTRAL","HPV - Dose 3","1,529","2,033","75.2%","73.3-77.0"
"2012-13","NOVA SCOTIA","TDAP","8,771","9,545","91.9%","91.3-92.4"
"2012-13","NOVA SCOTIA","MEN-C-C","8,683","9,545","91%","90.3-91.5"
"2012-13","NOVA SCOTIA","HBV - Dose 1","8,272","9,545","86.7%","86.0-87.3"
"2012-13","NOVA SCOTIA","HBV - Dose 2","7,547","9,545","79.1%","78.2-79.9"
"2012-13","NOVA SCOTIA","HPV - Dose 1","4,046","4,685","86.4%","85.3-87.3"
"2012-13","NOVA SCOTIA","HPV - Dose 2","3,925","4,685","83.8%","82.7-84.8"
"2012-13","NOVA SCOTIA","HPV - Dose 3","3,618","4,685","77.2%","76.0-78.4"
"2019-20","WESTERN","HBV","1,324","1,809","73.18960751797%","71.15-75.23"
"2019-20","NORTHERN","HBV","1,270","1,604","79.17705735661%","77.19-81.16"
"2019-20","EASTERN","HBV","1,261","1,546","81.56532988357%","79.63-83.5"
"2019-20","CENTRAL","HBV","3,316","4,238","78.24445493157%","77.0-79.49"
"2019-20","NOVA SCOTIA","HBV","7,171","9,197","77.97107752528%","77.12-78.82"
"2019-20","WESTERN","HPV","1,380","1,809","76.28524046434%","74.33-78.25"
"2019-20","NORTHERN","HPV","1,287","1,604","80.23690773067%","78.29-82.19"
"2019-20","EASTERN","HPV","1,241","1,546","80.27166882277%","78.29-82.26"
"2019-20","CENTRAL","HPV","3,378","4,238","79.70740915526%","78.5-80.92"
"2019-20","NOVA SCOTIA","HPV","7,286","9,197","79.22148526693%","78.39-80.05"
"2019-20","WESTERN","MEN-C-ACYW-135","1,588","1,809","87.78330569375%","86.27-89.29"
"2019-20","NORTHERN","MEN-C-ACYW-135","1,442","1,604","89.90024937656%","88.43-91.37"
"2019-20","EASTERN","MEN-C-ACYW-135","1,371","1,546","88.68046571798%","87.1-90.26"
"2019-20","CENTRAL","MEN-C-ACYW-135","3,779","4,238","89.16941953752%","88.23-90.1"
"2019-20","NOVA SCOTIA","MEN-C-ACYW-135","8,180","9,197","88.94204631945%","88.3-89.58"
"2019-20","WESTERN","TDAP","1,437","1,809","79.43615257048%","77.57-81.3"
"2019-20","NORTHERN","TDAP","1,345","1,604","83.85286783042%","82.05-85.65"
"2019-20","EASTERN","TDAP","1,296","1,546","83.82923673997%","81.99-85.66"
"2019-20","CENTRAL","TDAP","3,506","4,238","82.72770174611%","81.59-83.87"
"2019-20","NOVA SCOTIA","TDAP","7,584","9,197","82.46167228444%","81.68-83.24"
"2020-21","WESTERN","HBV","1,309","1,848","70.83333333333%","68.76-72.91"
"2020-21","NORTHERN","HBV","1,172","1,522","77.00394218134%","74.89-79.12"
"2020-21","EASTERN","HBV","1,092","1,529","71.41922825376%","69.15-73.68"
"2020-21","CENTRAL","HBV","3,341","4,634","72.09753992231%","70.81-73.39"
"2020-21","NOVA SCOTIA","HBV","6,914","9,533","72.52701143397%","71.63-73.42"
"2020-21","WESTERN","HPV","1,336","1,848","72.29437229437%","70.25-74.33"
"2020-21","NORTHERN","HPV","1,173","1,522","77.06964520368%","74.96-79.18"
"2020-21","EASTERN","HPV","1,088","1,529","71.15761935906%","68.89-73.43"
"2020-21","CENTRAL","HPV","3,375","4,634","72.83124730255%","71.55-74.11"
"2020-21","NOVA SCOTIA","HPV","6,972","9,533","73.13542431554%","72.25-74.03"
"2020-21","WESTERN","MEN-C-ACYW-135","1,600","1,848","86.58008658009%","85.03-88.13"
"2020-21","NORTHERN","MEN-C-ACYW-135","1,327","1,522","87.18791064389%","85.51-88.87"
"2020-21","EASTERN","MEN-C-ACYW-135","1,302","1,529","85.15369522564%","83.37-86.94"
"2020-21","CENTRAL","MEN-C-ACYW-135","4,076","4,634","87.95856711265%","87.02-88.9"
"2020-21","NOVA SCOTIA","MEN-C-ACYW-135","8,305","9,533","87.11843071436%","86.45-87.79"
"2020-21","WESTERN","TDAP","1,450","1,848","78.4632034632%","76.59-80.34"
"2020-21","NORTHERN","TDAP","1,254","1,522","82.39159001314%","80.48-84.31"
"2020-21","EASTERN","TDAP","1,123","1,529","73.4466971877%","71.23-75.66"
"2020-21","CENTRAL","TDAP","3,708","4,634","80.01726370306%","78.87-81.17"
"2020-21","NOVA SCOTIA","TDAP","7,535","9,533","79.04122521766%","78.22-79.86"
"2021-22","WESTERN","HBV","1,371","1,788","76.68%","74.66-78.58"
"2021-22","NORTHERN","HBV","1,274","1,603","79.48%","77.43-81.38"
"2021-22","EASTERN","HBV","1,104","1,504","73.4%","71.11-75.58"
"2021-22","CENTRAL","HBV","3,688","4,448","82.91%","81.78-83.99"
"2021-22","NOVA SCOTIA","HBV","7,437","9,343","79.6%","78.77-80.4"
"2021-22","WESTERN","HPV","1,410","1,788","78.86%","76.91-80.69"
"2021-22","NORTHERN","HPV","1,293","1,603","80.66%","78.66-82.52"
"2021-22","EASTERN","HPV","1,127","1,504","74.93%","72.68-77.06"
"2021-22","CENTRAL","HPV","3,781","4,448","85%","83.93-86.02"
"2021-22","NOVA SCOTIA","HPV","7,611","9,343","81.46%","80.66-82.24"
"2021-22","WESTERN","MEN-C-ACYW-135","1,542","1,788","86.24%","84.57-87.76"
"2021-22","NORTHERN","MEN-C-ACYW-135","1,425","1,603","88.9%","87.26-90.34"
"2021-22","EASTERN","MEN-C-ACYW-135","1,269","1,504","84.38%","82.45-86.12"
"2021-22","CENTRAL","MEN-C-ACYW-135","4,135","4,448","92.96%","92.17-93.68"
"2021-22","NOVA SCOTIA","MEN-C-ACYW-135","8,371","9,343","89.6%","88.98-90.2"
"2021-22","WESTERN","TDAP","1,478","1,788","82.66%","80.84-84.35"
"2021-22","NORTHERN","TDAP","1,355","1,603","84.53%","82.67-86.22"
"2021-22","EASTERN","TDAP","1,148","1,504","76.33%","74.12-78.41"
"2021-22","CENTRAL","TDAP","3,956","4,448","88.94%","87.98-89.83"
"2021-22","NOVA SCOTIA","TDAP","7,937","9,343","84.95%","84.21-85.66"
