Year,Zone,Vaccine,# Immunized,# Eligible,% Coverage,95% CI,Year_Start,Gap_From_Target,Gap_Percentage_Points,Meets_Target,# Unvaccinated
2015-16,NOVA SCOTIA,MEN-C-ACYW-135,9685,10253,0.945,94.0-94.9,2015,0.0050000000000000044,0.5000000000000004,False,568
2015-16,NOVA SCOTIA,HBV - Dose 1,8987,10253,0.877,87.0-88.3,2015,0.07299999999999995,7.299999999999995,False,1266
2015-16,NOVA SCOTIA,HBV - Dose 2,7929,10253,0.773,76.5-78.1,2015,0.17699999999999994,17.699999999999992,False,2324
2015-16,NOVA SCOTIA,HPV - Dose 1,9170,10253,0.894,88.8-90.0,2015,0.05599999999999994,5.599999999999994,False,1083
2015-16,NOVA SCOTIA,HPV - Dose 2,8294,10253,0.809,80.1-81.6,2015,0.1409999999999999,14.09999999999999,False,1959
2014-15,WESTERN,TDAP,1749,1866,0.937,92.5-94.7,2014,0.0129999999999999,1.29999999999999,False,117
2014-15,WESTERN,MEN-C-C,1730,1866,0.927,91.4-93.8,2014,0.02299999999999991,2.299999999999991,False,136
2014-15,WESTERN,HBV - Dose 1,1621,1866,0.8690000000000001,85.3-88.3,2014,0.08099999999999985,8.099999999999985,False,245
2014-15,WESTERN,HBV - Dose 2,1463,1866,0.784,76.5-80.2,2014,0.16599999999999993,16.599999999999994,False,403
2014-15,WESTERN,HPV - Dose 1,738,891,0.828,80.2-85.2,2014,0.122,12.2,False,153
2014-15,WESTERN,HPV - Dose 2,707,891,0.7929999999999999,76.6-81.9,2014,0.15700000000000003,15.700000000000003,False,184
2014-15,WESTERN,HPV - Dose 3,677,891,0.76,73.1-78.7,2014,0.18999999999999995,18.999999999999993,False,214
2014-15,NORTHERN,TDAP,1420,1487,0.955,94.3-96.4,2014,-0.0050000000000000044,-0.5000000000000004,True,67
2014-15,NORTHERN,MEN-C-C,1426,1487,0.9590000000000001,94.8-96.8,2014,-0.009000000000000119,-0.9000000000000119,True,61
2014-15,NORTHERN,HBV - Dose 1,1322,1487,0.889,87.2-90.4,2014,0.06099999999999994,6.099999999999994,False,165
2014-15,NORTHERN,HBV - Dose 2,1224,1487,0.823,80.3-84.2,2014,0.127,12.7,False,263
2014-15,NORTHERN,HPV - Dose 1,642,734,0.875,84.9-89.7,2014,0.07499999999999996,7.499999999999996,False,92
2014-15,NORTHERN,HPV - Dose 2,629,734,0.857,83.0-88.0,2014,0.09299999999999997,9.299999999999997,False,105
2014-15,NORTHERN,HPV - Dose 3,593,734,0.8079999999999999,77.8-83.5,2014,0.14200000000000002,14.200000000000001,False,141
2014-15,EASTERN,TDAP,1513,1638,0.924,91.0-93.6,2014,0.025999999999999912,2.599999999999991,False,125
2014-15,EASTERN,MEN-C-C,1500,1638,0.9159999999999999,90.1-92.8,2014,0.03400000000000003,3.400000000000003,False,138
